"Master sample log for 16S/18S samples from KOK1606, MGL1704, KM1713",,,,,,,,,,,,,,,,,
"Compiled from individual cruise logs by Jamie Collins, Armbrust Lab, University of Washington; james.r.collins@aya.yale.edu",,,,,,,,,,,,,,,,,
Sample_ID,Cruise_ID,Cruise_name,Sample_type,Event_ID,Station_ID,Cast,Niskin_bottle,Depth_m,Experiment_ID,Experiment_treatment,Replicate_ID,Experiment_sample_date,Experiment_sample_time_local,Sample_vol_mL,Filter_poresize_µm,Notes,
63683,KOK1606,Gradients_1,CTD,,2,1,11,15,,,,,,2000,3,,
63684,KOK1606,Gradients_1,CTD,,2,1,11,15,,,,,,2000,0.2,,
63685,KOK1606,Gradients_1,CTD,,2,1,11,15,,,,,,2000,3,,
63686,KOK1606,Gradients_1,CTD,,2,1,11,15,,,,,,2000,0.2,,
63693,KOK1606,Gradients_1,CTD,,2,3,5,110,,,,,,1500,3,,
63694,KOK1606,Gradients_1,CTD,,2,3,5,110,,,,,,1500,0.2,,
63711,KOK1606,Gradients_1,CTD,,3,1,10,15,,,,,,2000,3,,
63712,KOK1606,Gradients_1,CTD,,3,1,10,15,,,,,,2000,0.2,,
63727,KOK1606,Gradients_1,CTD,,4,1,11,15,,,,,,2000,3,,
63728,KOK1606,Gradients_1,CTD,,4,1,11,15,,,,,,2000,0.2,,
63737,KOK1606,Gradients_1,CTD,,4,3,5,90,,,,,,2000,3,,
63738,KOK1606,Gradients_1,CTD,,4,3,5,90,,,,,,2000,0.2,,
63757,KOK1606,Gradients_1,CTD,,5,1,10,15,,,,,,2000,3,,
63758,KOK1606,Gradients_1,CTD,,5,1,10,15,,,,,,2000,0.2,,
63777,KOK1606,Gradients_1,CTD,,6,1,11,15,,,,,,2000,3,,
63778,KOK1606,Gradients_1,CTD,,6,1,11,15,,,,,,2000,0.2,,
63779,KOK1606,Gradients_1,CTD,,6,1,11,15,,,,,,2500,3,,
63780,KOK1606,Gradients_1,CTD,,6,1,11,15,,,,,,2500,0.2,,
63795,KOK1606,Gradients_1,CTD,,6,2,9,60,,,,,,2000,3,,
63796,KOK1606,Gradients_1,CTD,,6,2,9,60,,,,,,2000,0.2,,
63835,KOK1606,Gradients_1,CTD,,7,1,10,15,,,,,,2000,3,,
63836,KOK1606,Gradients_1,CTD,,7,1,10,15,,,,,,2000,0.2,,
63837,KOK1606,Gradients_1,CTD,,7,1,10,15,,,,,,2000,3,,
63838,KOK1606,Gradients_1,CTD,,7,1,10,15,,,,,,2000,0.2,,
63857,KOK1606,Gradients_1,CTD,,8,1,11,15,,,,,,2000,3,,
63858,KOK1606,Gradients_1,CTD,,8,1,11,15,,,,,,2000,0.2,,
63879,KOK1606,Gradients_1,CTD,,9,1,11,15,,,,,,2000,3,,
63880,KOK1606,Gradients_1,CTD,,9,1,11,15,,,,,,2000,0.2,,
