"Master station/event log for 16S/18S samples from KOK1606, MGL1704, KM1713",,,,,,,,,,,,
"Compiled from individual cruise logs by Jamie Collins, Armbrust Lab, University of Washington; james.r.collins@aya.yale.edu",,,,,,,,,,,,
Cruise_ID,Cruise_name,Sample_type,Event_ID,Station_ID,Cast,Depth_m,Lat,Lon,Date_sampled,Time_sampled,Datetime_ISO8601,Notes
KOK1606,Gradients_1,CTD,,2,1,15,23.5,-157.99,4/20/16,6:10:00,2016-04-20T06:10:00-10:00,
KOK1606,Gradients_1,CTD,,2,3,110,23.5,-157.99,4/20/16,16:45:00,2016-04-20T16:45:00-10:00,
KOK1606,Gradients_1,CTD,,3,1,15,24.66,-157.99,4/21/16,5:30:00,2016-04-21T05:30:00-10:00,
KOK1606,Gradients_1,CTD,,4,1,15,28.13,-158,4/22/16,6:05:00,2016-04-22T06:05:00-10:00,
KOK1606,Gradients_1,CTD,,4,3,90,28.13,-158,4/22/16,17:00:00,2016-04-22T17:00:00-10:00,
KOK1606,Gradients_1,CTD,,5,1,15,29.45,-158,4/23/16,6:00:00,2016-04-23T06:00:00-10:00,
KOK1606,Gradients_1,CTD,,6,1,15,32.58,-158,4/24/16,6:00:00,2016-04-24T06:00:00-10:00,
KOK1606,Gradients_1,CTD,,6,2,60,32.58,-158,4/24/16,16:30:00,2016-04-24T16:30:00-10:00,
KOK1606,Gradients_1,CTD,,7,1,15,34.06,-158,4/25/16,5:45:00,2016-04-25T05:45:00-10:00,
KOK1606,Gradients_1,CTD,,8,1,15,37.3,-158,4/26/16,5:50:00,2016-04-26T05:50:00-10:00,
KOK1606,Gradients_1,CTD,,9,2,65,36.57,-158,4/27/16,18:45:00,2016-04-27T18:45:00-10:00,
KOK1606,Gradients_1,CTD,,10,1,15,35.46,-158,4/28/16,5:45:00,2016-04-28T05:45:00-10:00,
KOK1606,Gradients_1,CTD,,11,1,65,36.58,-158,4/28/16,21:15:00,2016-04-28T21:15:00-10:00,
KOK1606,Gradients_1,CTD,,12,1,15,33.09,-158,4/30/16,5:45:00,2016-04-30T05:45:00-10:00,
KOK1606,Gradients_1,CTD,,13,1,15,29.7,-158,5/1/16,5:30:00,2016-05-01T05:30:00-10:00,
KOK1606,Gradients_1,CTD,,14,1,15,26.28,-158,5/2/16,5:45:00,2016-05-02T05:45:00-10:00,
KOK1606,Gradients_1,CTD,,14,2,80,26.28,-158,5/2/16,10:30:00,2016-05-02T10:30:00-10:00,
MGL1704,Gradients_2,CTD,1,1,1,15,21.31966333,-158.2319267,5/27/17,20:44:00,2017-05-27T20:44:00-10:00,
MGL1704,Gradients_2,CTD,3,2,1,15,25.7682965,-158.014165,5/29/17,4:27:00,2017-05-29T04:27:00-10:00,
